,Track_ID,Track_Title,Track_Artist,Track_Popularity,Track_URL,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acoutsicness,Instrumentalness,Liveness,Valence,Tempo
13905,3LXprYdzVPc76n9ypWTrM8,The Curse (feat. Mac Demarco),Yellow Days,37,https://p.scdn.co/mp3-preview/d313341a00723777a419d2d605707c5597f28290?cid=1346ad7fd5d14060af96cc4eaf61e382,0.605,0.49,0,-7.148,1,0.0465,0.128,0.000119,0.38,0.355,140.172
13908,5W4cALNimK9sWuu3gFcYFE,The Darkness That You Fear - Edit,The Chemical Brothers,36,https://p.scdn.co/mp3-preview/0354c87b7c0c839cd8534ee015ddb5b416737b4e?cid=1346ad7fd5d14060af96cc4eaf61e382,0.576,0.894,9,-4.659,1,0.0404,0.0351,0.0896,0.23,0.304,128.077
13909,5xEQly0HBNaMRUadgVndjq,the dealer,Nilüfer Yanya,34,https://p.scdn.co/mp3-preview/abc93d67aeba55f395a58d7a207e3ddd7dea39c1?cid=1346ad7fd5d14060af96cc4eaf61e382,0.742,0.859,6,-6.495,0,0.0417,0.349,2.61e-06,0.12,0.848,129.978
13910,1UMuiAfpPGMxWxTebEcpjl,The Deep,Ai Bendr,22,https://p.scdn.co/mp3-preview/e1114e7a5a4cd7356b99c2b0a490381c44b6bce4?cid=1346ad7fd5d14060af96cc4eaf61e382,0.664,0.521,0,-9.024,1,0.0363,0.42,0.117,0.118,0.105,119.968
13911,77IYP2HaF1FVdvkGatRhvB,The Devil Is Human,AURORA,50,https://p.scdn.co/mp3-preview/560ccf0453f48f8ee49c3d21caadda9579a94957?cid=1346ad7fd5d14060af96cc4eaf61e382,0.528,0.698,9,-6.698,0,0.0912,0.355,0.00425,0.0784,0.42,166.016
13912,5McpWHNTIz46zaxCD80Jn7,The Devil Made Me Do It,B.o.B,26,https://p.scdn.co/mp3-preview/8ecbc0a63f3c82c6ca82f5aba340be67303ea4c3?cid=1346ad7fd5d14060af96cc4eaf61e382,0.653,0.712,10,-7.488,0,0.0799,0.184,8.32e-06,0.134,0.173,159.961
13913,4BOeX23fi3QF9fL82xFjle,The Devil’s Still Down in Georgia,Carter Faith,48,https://p.scdn.co/mp3-preview/9ed47fec4aef4adb1fd541e761c8561bd067f515?cid=1346ad7fd5d14060af96cc4eaf61e382,0.547,0.743,1,-4.997,0,0.0454,0.16,2.2e-05,0.157,0.311,120.117
13915,4nlvKIIetOWGIMyhjQXgOZ,The Difference,Flume,72,https://p.scdn.co/mp3-preview/7c66c1c81961e6f889865462dd16ed6ab40309aa?cid=1346ad7fd5d14060af96cc4eaf61e382,0.56,0.865,1,-1.148,1,0.0909,0.255,0.000153,0.083,0.424,159.96
13916,7kUZGVHKDRBrPIYfhZ49ju,The Distance,Totally Enormous Extinct Dinosaurs,32,https://p.scdn.co/mp3-preview/99b3fa8f6a7522d876b088dee34c623d91eab12e?cid=1346ad7fd5d14060af96cc4eaf61e382,0.709,0.803,10,-6.129,0,0.0448,0.183,0.852,0.111,0.224,124.977
13917,3A0cAzFKPefBCz7Z02UnnO,The Divine Chord,The Avalanches,60,https://p.scdn.co/mp3-preview/e24ce34fc95473fe053c03dc9a568523d387095b?cid=1346ad7fd5d14060af96cc4eaf61e382,0.557,0.863,0,-5.321,0,0.0391,0.104,0.0,0.697,0.373,105.362
